date,freight_rate_usd_per_t,bdi_index,bunker_price_usd_per_t,port_congestion_days,demand_signal,is_monsoon,is_cyclone_season
2023-10-17,28.31,1523.7,519.6,4.39,46.0,0,1
2023-10-18,28.89,1510.1,520.2,4.11,45.8,0,1
2023-10-19,27.4,1508.1,521.5,3.53,45.5,0,1
2023-10-20,28.0,1514.7,520.2,4.1,45.3,0,1
2023-10-21,28.23,1497.9,520.8,4.8,45.1,0,1
2023-10-22,28.12,1495.4,520.1,5.03,44.8,0,1
2023-10-23,27.73,1493.4,519.2,4.21,44.6,0,1
2023-10-24,28.56,1495.6,519.5,4.27,44.3,0,1
2023-10-25,28.32,1481.6,519.6,4.54,44.1,0,1
2023-10-26,28.58,1466.8,517.0,5.0,43.9,0,1
2023-10-27,28.42,1466.7,518.0,4.17,43.6,0,1
2023-10-28,28.38,1464.8,518.9,4.53,43.4,0,1
2023-10-29,28.27,1462.4,517.5,3.92,43.2,0,1
2023-10-30,27.89,1460.8,517.2,3.71,42.9,0,1
2023-10-31,27.46,1450.9,517.1,3.96,42.7,0,1
2023-11-01,28.78,1448.3,516.6,5.23,42.5,0,1
2023-11-02,27.84,1446.1,515.2,4.54,42.3,0,1
2023-11-03,27.33,1435.8,513.7,3.73,42.0,0,1
2023-11-04,27.98,1446.1,512.9,4.58,41.8,0,1
2023-11-05,27.4,1445.2,513.6,3.75,41.6,0,1
2023-11-06,27.72,1431.0,513.5,4.38,41.4,0,1
2023-11-07,27.8,1431.5,512.3,3.8,41.2,0,1
2023-11-08,27.71,1419.0,512.5,3.72,41.0,0,1
2023-11-09,27.76,1420.5,508.3,5.43,40.8,0,1
2023-11-10,27.45,1424.9,508.9,4.01,40.6,0,1
2023-11-11,28.14,1413.5,506.1,4.53,40.4,0,1
2023-11-12,27.77,1416.3,504.9,4.19,40.2,0,1
2023-11-13,28.21,1414.7,502.8,3.77,40.0,0,1
2023-11-14,27.94,1416.3,500.5,4.06,39.8,0,1
2023-11-15,27.89,1426.5,501.2,3.77,39.6,0,1
2023-11-16,27.7,1419.6,499.8,6.35,39.4,0,1
2023-11-17,27.9,1408.5,499.5,4.66,39.2,0,1
2023-11-18,27.31,1396.4,498.7,4.18,39.1,0,1
2023-11-19,27.14,1384.8,498.5,4.49,38.9,0,1
2023-11-20,27.42,1379.1,497.9,4.61,38.7,0,1
2023-11-21,27.68,1376.8,495.6,4.61,38.5,0,1
2023-11-22,27.47,1373.9,496.0,4.58,38.4,0,1
2023-11-23,26.89,1375.4,494.7,4.52,38.2,0,1
2023-11-24,27.37,1370.3,492.0,4.22,38.1,0,1
2023-11-25,27.22,1376.8,490.8,5.33,37.9,0,1
2023-11-26,27.15,1369.6,491.8,4.26,37.8,0,1
2023-11-27,27.03,1386.2,492.1,4.19,37.6,0,1
2023-11-28,27.06,1386.0,490.9,4.26,37.5,0,1
2023-11-29,27.38,1374.0,489.8,4.3,37.3,0,1
2023-11-30,26.32,1360.3,488.6,3.63,37.2,0,1
2023-12-01,27.6,1359.0,490.4,3.82,37.1,0,1
2023-12-02,26.14,1352.0,490.1,4.11,36.9,0,1
2023-12-03,26.45,1352.6,489.9,3.63,36.8,0,1
2023-12-04,27.02,1351.2,490.4,4.18,36.7,0,1
2023-12-05,27.1,1345.5,489.9,4.29,36.6,0,1
2023-12-06,26.53,1333.5,488.9,3.7,36.4,0,1
2023-12-07,26.49,1316.3,487.9,3.9,36.3,0,1
2023-12-08,27.03,1307.6,487.1,5.07,36.2,0,1
2023-12-09,26.57,1309.3,486.3,4.5,36.1,0,1
2023-12-10,27.19,1305.9,486.4,4.46,36.0,0,1
2023-12-11,27.04,1290.9,485.8,4.95,35.9,0,1
2023-12-12,26.64,1287.2,485.9,3.83,35.9,0,1
2023-12-13,25.83,1285.2,485.1,3.71,35.8,0,1
2023-12-14,26.49,1273.1,484.5,4.82,35.7,0,1
2023-12-15,26.1,1269.3,481.4,4.13,35.6,0,1
2023-12-16,25.68,1264.8,481.8,3.82,35.5,0,1
2023-12-17,26.06,1250.7,481.5,3.63,35.5,0,1
2023-12-18,25.92,1248.6,482.0,4.27,35.4,0,1
2023-12-19,26.27,1248.2,477.8,4.07,35.4,0,1
2023-12-20,25.6,1252.0,479.6,4.0,35.3,0,1
2023-12-21,26.57,1255.5,478.7,3.55,35.3,0,1
2023-12-22,26.05,1239.7,479.4,5.31,35.2,0,1
2023-12-23,25.82,1227.4,477.4,3.67,35.2,0,1
2023-12-24,26.19,1226.7,477.5,4.04,35.1,0,1
2023-12-25,25.57,1226.1,475.6,3.97,35.1,0,1
2023-12-26,26.32,1225.5,474.1,4.52,35.1,0,1
2023-12-27,25.36,1251.7,475.8,3.64,35.1,0,1
2023-12-28,26.7,1251.7,474.9,4.43,35.0,0,1
2023-12-29,26.09,1256.2,474.5,4.27,35.0,0,1
2023-12-30,25.74,1259.3,474.9,3.88,35.0,0,1
2023-12-31,26.05,1260.0,474.8,4.41,35.0,0,1
2024-01-01,24.63,1253.0,474.3,2.68,35.0,0,0
2024-01-02,24.58,1254.7,474.1,4.1,35.0,0,0
2024-01-03,23.95,1244.1,476.4,2.57,35.0,0,0
2024-01-04,24.02,1237.9,475.7,2.28,35.0,0,0
2024-01-05,23.81,1229.8,475.3,2.94,35.0,0,0
2024-01-06,24.85,1226.3,475.9,2.52,35.1,0,0
2024-01-07,24.05,1240.6,476.6,2.67,35.1,0,0
2024-01-08,24.35,1221.6,477.5,2.21,35.1,0,0
2024-01-09,24.39,1223.0,477.6,3.03,35.2,0,0
2024-01-10,23.58,1206.1,475.7,2.45,35.2,0,0
2024-01-11,24.07,1198.4,477.0,2.81,35.2,0,0
2024-01-12,24.97,1203.3,475.1,4.45,35.3,0,0
2024-01-13,23.9,1200.0,474.8,2.55,35.3,0,0
2024-01-14,24.56,1187.6,473.4,3.13,35.4,0,0
2024-01-15,24.25,1178.2,472.7,2.58,35.4,0,0
2024-01-16,24.15,1180.0,472.6,2.38,35.5,0,0
2024-01-17,23.98,1170.6,472.4,3.61,35.6,0,0
2024-01-18,23.19,1168.8,472.3,2.09,35.7,0,0
2024-01-19,23.82,1165.8,473.7,3.33,35.7,0,0
2024-01-20,23.66,1157.2,473.7,2.08,35.8,0,0
2024-01-21,24.29,1171.0,472.9,3.24,35.9,0,0
2024-01-22,23.03,1172.9,473.6,2.67,36.0,0,0
2024-01-23,23.67,1153.5,474.5,2.29,36.1,0,0
2024-01-24,23.76,1151.9,472.5,2.48,36.2,0,0
2024-01-25,23.75,1143.6,472.7,3.09,36.3,0,0
2024-01-26,24.84,1147.5,473.0,4.3,36.4,0,0
2024-01-27,23.68,1138.3,472.2,2.14,36.5,0,0
2024-01-28,24.08,1134.6,473.4,2.3,36.6,0,0
2024-01-29,23.44,1135.9,472.7,2.19,36.7,0,0
2024-01-30,24.07,1140.2,472.4,2.57,36.9,0,0
2024-01-31,24.51,1128.0,471.7,3.26,37.0,0,0
2024-02-01,23.95,1122.8,471.3,2.16,37.1,0,0
2024-02-02,23.1,1116.6,469.6,2.66,37.3,0,0
2024-02-03,23.56,1109.0,467.4,3.24,37.4,0,0
2024-02-04,23.35,1120.9,468.9,2.47,37.5,0,0
2024-02-05,23.79,1122.0,467.4,2.77,37.7,0,0
2024-02-06,24.04,1109.8,465.8,3.53,37.8,0,0
2024-02-07,22.98,1115.1,462.9,2.25,38.0,0,0
2024-02-08,23.35,1130.2,461.7,2.11,38.1,0,0
2024-02-09,22.78,1136.6,459.7,2.85,38.3,0,0
2024-02-10,24.11,1122.7,461.3,2.86,38.5,0,0
2024-02-11,23.15,1117.1,462.1,2.45,38.6,0,0
2024-02-12,23.4,1125.6,461.0,2.38,38.8,0,0
2024-02-13,23.36,1118.5,463.3,2.68,39.0,0,0
2024-02-14,23.84,1120.6,464.1,2.25,39.1,0,0
2024-02-15,22.29,1125.5,463.4,2.25,39.3,0,0
2024-02-16,23.61,1116.8,460.1,3.08,39.5,0,0
2024-02-17,23.3,1115.1,462.5,2.23,39.7,0,0
2024-02-18,22.94,1088.1,460.5,2.11,39.9,0,0
2024-02-19,23.83,1078.9,458.3,2.37,40.1,0,0
2024-02-20,22.8,1076.0,459.2,2.45,40.3,0,0
2024-02-21,23.6,1065.2,461.8,2.93,40.5,0,0
2024-02-22,23.34,1077.5,463.2,2.4,40.7,0,0
2024-02-23,24.1,1065.5,463.6,3.7,40.9,0,0
2024-02-24,22.97,1061.4,464.1,2.71,41.1,0,0
2024-02-25,22.84,1062.0,464.9,2.33,41.3,0,0
2024-02-26,23.85,1073.1,465.5,2.91,41.5,0,0
2024-02-27,23.77,1061.3,465.6,3.68,41.7,0,0
2024-02-28,22.82,1070.4,465.5,3.06,41.9,0,0
2024-02-29,22.9,1070.4,465.2,2.15,42.1,0,0
2024-03-01,23.32,1062.5,464.1,2.49,42.4,0,0
2024-03-02,23.63,1066.3,463.6,2.8,42.6,0,0
2024-03-03,23.09,1068.1,461.4,3.03,42.8,0,0
2024-03-04,22.01,1063.5,461.1,2.58,43.0,0,0
2024-03-05,23.35,1064.4,459.7,2.51,43.3,0,0
2024-03-06,23.16,1061.7,458.2,4.09,43.5,0,0
2024-03-07,22.5,1063.1,458.3,3.07,43.7,0,0
2024-03-08,22.17,1069.0,459.8,2.91,44.0,0,0
2024-03-09,23.55,1082.4,460.8,2.42,44.2,0,0
2024-03-10,23.14,1073.3,458.8,2.24,44.5,0,0
2024-03-11,23.33,1091.2,457.5,2.92,44.7,0,0
2024-03-12,23.99,1076.6,458.5,3.16,44.9,0,0
2024-03-13,23.5,1076.4,457.3,2.66,45.2,0,0
2024-03-14,24.07,1082.2,456.9,3.08,45.4,0,0
2024-03-15,22.89,1085.7,457.5,3.09,45.7,0,0
2024-03-16,23.44,1082.0,456.3,3.21,45.9,0,0
2024-03-17,22.45,1081.7,456.3,2.15,46.2,0,0
2024-03-18,23.08,1079.2,454.7,2.5,46.4,0,0
2024-03-19,23.2,1076.1,453.9,2.96,46.7,0,0
2024-03-20,23.52,1084.5,454.3,2.69,46.9,0,0
2024-03-21,23.44,1089.1,452.4,3.1,47.2,0,0
2024-03-22,23.6,1085.3,452.9,2.91,47.4,0,0
2024-03-23,23.39,1094.4,452.8,2.06,47.7,0,0
2024-03-24,24.47,1098.9,453.5,3.41,47.9,0,0
2024-03-25,23.2,1107.4,453.8,2.45,48.2,0,0
2024-03-26,22.99,1114.6,455.5,2.31,48.5,0,0
2024-03-27,23.83,1110.2,455.7,3.38,48.7,0,0
2024-03-28,23.27,1108.0,455.2,3.04,49.0,0,0
2024-03-29,24.41,1116.3,455.4,3.51,49.2,0,0
2024-03-30,23.52,1123.7,456.1,2.81,49.5,0,0
2024-03-31,23.31,1126.0,456.3,2.49,49.7,0,0
2024-04-01,23.47,1129.6,456.4,2.74,50.0,0,0
2024-04-02,23.85,1142.5,455.6,2.26,50.3,0,0
2024-04-03,23.46,1140.5,455.0,2.18,50.5,0,0
2024-04-04,23.35,1147.7,453.4,2.39,50.8,0,0
2024-04-05,24.83,1149.0,455.6,3.81,51.0,0,0
2024-04-06,23.33,1150.2,454.2,2.43,51.3,0,0
2024-04-07,23.64,1162.1,453.6,2.12,51.5,0,0
2024-04-08,24.12,1171.8,452.8,2.59,51.8,0,0
2024-04-09,23.22,1181.5,454.1,2.42,52.1,0,0
2024-04-10,24.5,1195.2,453.9,3.43,52.3,0,0
2024-04-11,24.03,1198.7,455.6,3.73,52.6,0,0
2024-04-12,24.38,1207.6,455.0,2.48,52.8,0,0
2024-04-13,23.81,1208.6,455.5,2.81,53.1,0,0
2024-04-14,24.5,1214.7,454.7,2.86,53.3,0,0
2024-04-15,24.65,1217.3,457.5,2.64,53.6,0,0
2024-04-16,24.52,1221.7,456.3,2.55,53.8,0,0
2024-04-17,24.24,1230.2,456.9,2.29,54.1,0,0
2024-04-18,23.98,1227.4,457.9,2.1,54.3,0,0
2024-04-19,24.05,1248.0,458.6,2.29,54.6,0,0
2024-04-20,24.96,1243.8,458.7,2.62,54.8,0,0
2024-04-21,23.89,1238.1,458.8,2.16,55.1,0,0
2024-04-22,24.07,1251.4,459.1,2.78,55.3,0,0
2024-04-23,24.79,1261.8,459.2,2.7,55.5,0,0
2024-04-24,24.19,1270.9,460.7,2.42,55.8,0,0
2024-04-25,24.26,1280.1,463.6,2.54,56.0,0,0
2024-04-26,23.97,1284.2,463.3,2.2,56.3,0,0
2024-04-27,24.68,1281.3,462.0,3.19,56.5,0,0
2024-04-28,24.88,1286.3,462.2,3.18,56.7,0,0
2024-04-29,24.73,1285.2,465.6,2.23,57.0,0,0
2024-04-30,25.08,1297.4,465.0,2.24,57.2,0,0
2024-05-01,24.99,1300.7,467.3,2.3,57.4,0,0
2024-05-02,24.97,1298.6,469.7,2.99,57.6,0,0
2024-05-03,24.93,1300.6,469.4,2.86,57.9,0,0
2024-05-04,25.46,1308.5,470.5,3.37,58.1,0,0
2024-05-05,25.84,1308.7,472.8,3.47,58.3,0,0
2024-05-06,24.91,1306.8,472.8,2.15,58.5,0,0
2024-05-07,25.0,1313.4,472.9,2.97,58.7,0,0
2024-05-08,24.98,1320.1,472.6,3.43,58.9,0,0
2024-05-09,24.46,1320.9,471.8,2.51,59.1,0,0
2024-05-10,25.35,1321.9,471.5,2.65,59.3,0,0
2024-05-11,25.32,1328.6,470.4,2.58,59.5,0,0
2024-05-12,25.29,1321.9,470.9,2.6,59.7,0,0
2024-05-13,25.18,1315.5,470.5,3.19,59.9,0,0
2024-05-14,26.1,1314.7,471.2,4.04,60.1,0,0
2024-05-15,25.2,1318.0,469.8,3.66,60.3,0,0
2024-05-16,25.41,1325.4,470.7,2.44,60.5,0,0
2024-05-17,25.28,1342.2,472.2,2.81,60.7,0,0
2024-05-18,24.92,1354.1,470.2,2.34,60.9,0,0
2024-05-19,25.46,1357.9,471.2,2.37,61.0,0,0
2024-05-20,25.53,1362.8,473.2,2.63,61.2,0,0
2024-05-21,25.39,1359.9,472.2,2.36,61.4,0,0
2024-05-22,25.36,1364.8,474.8,2.41,61.5,0,0
2024-05-23,25.47,1367.6,475.8,2.8,61.7,0,0
2024-05-24,26.54,1375.3,475.5,2.96,61.9,0,0
2024-05-25,26.05,1373.8,475.9,2.94,62.0,0,0
2024-05-26,25.94,1383.1,477.1,2.95,62.2,0,0
2024-05-27,25.54,1400.5,477.8,2.21,62.3,0,0
2024-05-28,25.99,1404.8,479.0,2.35,62.5,0,0
2024-05-29,25.96,1413.2,478.4,2.69,62.6,0,0
2024-05-30,26.09,1423.9,479.2,3.39,62.7,0,0
2024-05-31,26.45,1425.8,478.1,4.78,62.9,0,0
2024-06-01,28.75,1432.8,478.5,5.84,63.0,1,0
2024-06-02,27.65,1438.1,478.0,6.11,63.1,1,0
2024-06-03,28.7,1444.0,477.8,5.19,63.3,1,0
2024-06-04,28.77,1443.0,479.8,6.09,63.4,1,0
2024-06-05,30.1,1448.3,481.8,7.32,63.5,1,0
2024-06-06,28.86,1457.4,483.1,5.34,63.6,1,0
2024-06-07,28.5,1474.2,482.4,5.42,63.7,1,0
2024-06-08,29.31,1487.0,482.6,6.22,63.8,1,0
2024-06-09,28.9,1509.3,484.7,5.68,63.9,1,0
2024-06-10,29.29,1508.3,485.5,5.09,64.0,1,0
2024-06-11,29.47,1520.3,488.9,5.44,64.1,1,0
2024-06-12,30.24,1526.9,490.1,6.72,64.2,1,0
2024-06-13,29.28,1549.4,490.9,5.53,64.3,1,0
2024-06-14,29.61,1548.0,491.2,5.53,64.3,1,0
2024-06-15,29.27,1546.3,492.0,6.16,64.4,1,0
2024-06-16,29.99,1546.4,492.5,5.86,64.5,1,0
2024-06-17,29.74,1534.4,494.0,5.51,64.6,1,0
2024-06-18,29.72,1535.1,495.8,5.4,64.6,1,0
2024-06-19,30.66,1534.0,495.6,8.64,64.7,1,0
2024-06-20,30.1,1540.0,494.7,6.54,64.7,1,0
2024-06-21,30.41,1547.6,493.1,5.95,64.8,1,0
2024-06-22,29.81,1567.5,494.4,5.99,64.8,1,0
2024-06-23,29.92,1579.8,493.8,5.6,64.8,1,0
2024-06-24,29.48,1580.0,491.9,5.85,64.9,1,0
2024-06-25,29.47,1577.5,493.1,5.55,64.9,1,0
2024-06-26,29.87,1586.1,496.8,5.32,64.9,1,0
2024-06-27,30.44,1580.2,497.5,5.88,65.0,1,0
2024-06-28,29.92,1599.4,499.2,5.52,65.0,1,0
2024-06-29,30.17,1613.4,500.0,5.91,65.0,1,0
2024-06-30,30.15,1614.2,500.6,6.03,65.0,1,0
2024-07-01,30.03,1604.9,502.4,5.94,65.0,1,0
2024-07-02,30.23,1620.2,502.8,5.29,65.0,1,0
2024-07-03,29.61,1623.7,503.8,5.47,65.0,1,0
2024-07-04,30.84,1637.9,504.9,5.53,65.0,1,0
2024-07-05,30.28,1629.4,504.9,6.31,65.0,1,0
2024-07-06,30.84,1628.8,506.8,6.26,64.9,1,0
2024-07-07,29.76,1633.1,507.3,5.36,64.9,1,0
2024-07-08,30.5,1637.6,507.1,5.21,64.9,1,0
2024-07-09,31.45,1638.0,508.5,7.87,64.9,1,0
2024-07-10,30.7,1647.0,508.2,5.92,64.8,1,0
2024-07-11,29.87,1642.5,508.9,5.18,64.8,1,0
2024-07-12,30.48,1645.2,509.7,5.42,64.7,1,0
2024-07-13,30.29,1650.0,511.7,6.35,64.7,1,0
2024-07-14,31.12,1657.9,513.0,7.43,64.6,1,0
2024-07-15,31.61,1667.3,513.8,7.17,64.6,1,0
2024-07-16,31.07,1662.0,515.5,5.89,64.5,1,0
2024-07-17,30.65,1653.3,517.9,5.67,64.5,1,0
2024-07-18,30.22,1667.1,519.3,5.27,64.4,1,0
2024-07-19,31.06,1673.2,520.1,5.71,64.3,1,0
2024-07-20,30.62,1670.6,519.3,5.3,64.2,1,0
2024-07-21,29.83,1686.4,518.7,5.48,64.1,1,0
2024-07-22,31.37,1690.5,519.1,6.22,64.1,1,0
2024-07-23,30.89,1703.2,519.2,5.55,64.0,1,0
2024-07-24,31.4,1706.8,519.7,5.52,63.9,1,0
2024-07-25,30.64,1726.4,520.5,5.64,63.8,1,0
2024-07-26,30.8,1743.4,521.9,8.14,63.7,1,0
2024-07-27,31.19,1744.3,522.6,5.24,63.6,1,0
2024-07-28,31.48,1754.9,523.9,5.82,63.4,1,0
2024-07-29,31.16,1762.8,524.7,7.05,63.3,1,0
2024-07-30,31.0,1776.5,523.1,5.64,63.2,1,0
2024-07-31,32.76,1771.4,522.7,6.52,63.1,1,0
2024-08-01,31.13,1779.4,523.3,5.19,62.9,1,0
2024-08-02,31.71,1790.3,522.6,5.57,62.8,1,0
2024-08-03,31.02,1778.6,524.1,5.33,62.7,1,0
2024-08-04,30.55,1771.4,526.7,5.63,62.5,1,0
2024-08-05,31.27,1757.3,528.9,5.64,62.4,1,0
2024-08-06,31.26,1757.3,529.4,5.7,62.2,1,0
