unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoARIMA,AutoETS,Theta
ECI_PANAMAX,2025-10-24,2025-10-19,28.93,30.12,29.35,29.643025983258546,29.507874375369457,29.73944784504918
ECI_PANAMAX,2025-10-25,2025-10-19,29.56,30.12,29.69,29.673824332922926,29.50555297006646,29.62086312367323
ECI_PANAMAX,2025-10-26,2025-10-19,28.17,30.12,30.12,29.712775186910232,29.50327799304494,29.6031874093672
ECI_PANAMAX,2025-10-27,2025-10-26,29.21,28.17,29.6,28.80976376763402,28.819424987659286,28.821662458829802
ECI_PANAMAX,2025-10-28,2025-10-26,28.92,28.17,29.12,28.76695030746818,28.79914215206288,28.86091832720196
ECI_PANAMAX,2025-10-29,2025-10-26,29.0,28.17,28.42,28.70451401139299,28.7792649731784,28.74693524689813
ECI_PANAMAX,2025-10-30,2025-10-26,28.64,28.17,28.89,28.746435524472044,28.759785337871612,28.749966959675614
ECI_PANAMAX,2025-10-31,2025-10-26,28.56,28.17,28.93,28.7500033128192,28.74069529527096,28.912514959989096
ECI_PANAMAX,2025-11-01,2025-10-26,29.22,28.17,29.56,28.806195979286866,28.72198705352232,28.802058131486465
ECI_PANAMAX,2025-11-02,2025-10-26,29.19,28.17,28.17,28.682215334223283,28.70365297660865,28.788522258585452
ECI_PANAMAX,2025-11-03,2025-11-02,29.62,29.19,29.21,28.95898800986224,28.95121748721701,29.033889123912584
ECI_PANAMAX,2025-11-04,2025-11-02,28.92,29.19,28.92,28.945494053676295,28.940828610335913,29.071263362373408
ECI_PANAMAX,2025-11-05,2025-11-02,28.94,29.19,29.0,28.935925278424055,28.930647528846247,28.958423476028067
ECI_PANAMAX,2025-11-06,2025-11-02,28.96,29.19,28.64,28.92659948653179,28.920670086483074,28.957457989214145
ECI_PANAMAX,2025-11-07,2025-11-02,29.39,29.19,28.56,28.917448284370103,28.910892210113904,29.122727873803743
ECI_PANAMAX,2025-11-08,2025-11-02,28.86,29.19,29.22,28.908465633460533,28.901309908075888,29.017686333719325
ECI_PANAMAX,2025-11-09,2025-11-02,28.54,29.19,29.19,28.89964670745004,28.891919268546303,28.99241723211827
ECI_PANAMAX,2025-11-10,2025-11-09,28.72,28.54,29.62,28.893783841210656,28.86916419238339,28.879731880180117
ECI_PANAMAX,2025-11-11,2025-11-09,29.19,28.54,28.92,28.838914251243693,28.858482186498264,28.910248236926293
ECI_PANAMAX,2025-11-12,2025-11-09,28.33,28.54,28.94,28.83005300406572,28.848013842848452,28.79949436406334
ECI_PANAMAX,2025-11-13,2025-11-09,28.46,28.54,28.96,28.821236690141557,28.837754887746847,28.799453334297453
ECI_PANAMAX,2025-11-14,2025-11-09,28.35,28.54,29.39,28.842332005818797,28.827701132988942,28.95948238109867
ECI_PANAMAX,2025-11-15,2025-11-09,28.61,28.54,28.86,28.79394174627285,28.81784847414298,28.861085253360137
ECI_PANAMAX,2025-11-16,2025-11-09,29.18,28.54,28.54,28.760949654877688,28.808192888874345,28.836004622211405
