date,current_rate,pred_p10,pred_p50,pred_p90,actual_future_rate,decision,confidence,expected_savings_per_t,uncertainty_pct,reasons
2025-09-06,30.17,29.71563074737726,30.543503041222472,31.414990209043637,29.81,BUY NOW,Medium-High,-0.37,5.6,Model expects rates to rise: P50 $30.54 vs current $30.17.
2025-09-07,30.81,29.641524530946597,30.408313984825988,31.310612462461606,29.51,WAIT,Medium-High,0.4,5.4,P50 $30.41 below current $30.81 — $0.40/t expected savings.
2025-09-08,30.13,29.7391693368548,30.60940575118341,31.32103993743719,30.17,BUY NOW,Medium-High,-0.48,5.3,Model expects rates to rise: P50 $30.61 vs current $30.13.
2025-09-09,30.9,29.68699190765558,30.353319401696105,31.321251653135434,30.61,WAIT,High,0.55,5.3,Model predicts $0.55/t drop (P50=$30.35 vs current $30.90).
2025-09-10,30.23,29.75518152862726,30.454700703575988,31.354367040098325,29.98,BUY NOW,Medium-High,-0.22,5.3,Model expects rates to rise: P50 $30.45 vs current $30.23.
2025-09-11,30.66,29.64680979400812,30.557415242150206,31.382580541074887,30.19,BUY NOW,Medium,0.1,5.7,Only $0.10/t expected savings — below threshold.
2025-09-12,30.59,29.6600734964007,30.400181050255675,31.20336987823309,30.57,WAIT,Medium-High,0.19,5.0,P50 $30.40 below current $30.59 — $0.19/t expected savings.
2025-09-13,29.81,29.707202173768863,30.36114143843927,31.32849194854559,30.47,BUY NOW,Medium-High,-0.55,5.4,Model expects rates to rise: P50 $30.36 vs current $29.81.
2025-09-14,29.51,29.660571314393863,30.45618080611505,31.268904469907895,29.92,BUY NOW,High,-0.95,5.5,Current $29.51 at/below forecast floor P10=$29.66.
2025-09-15,30.17,29.638497568666324,30.515457386925597,31.04472615569891,30.18,BUY NOW,Medium-High,-0.35,4.7,Model expects rates to rise: P50 $30.52 vs current $30.17.
2025-09-16,30.61,29.596959330140933,30.491844410851378,31.047440312803403,30.41,BUY NOW,Medium,0.12,4.7,Only $0.12/t expected savings — below threshold.
2025-09-17,29.98,29.629981257020816,30.425224537804503,31.13768269866766,31.13,BUY NOW,Medium-High,-0.45,5.0,Model expects rates to rise: P50 $30.43 vs current $29.98.
2025-09-18,30.19,29.61423800140558,30.33809875960626,31.12518384307684,30.74,BUY NOW,Medium,-0.15,5.0,Only $-0.15/t expected savings — below threshold.
2025-09-19,30.57,29.545394159852847,30.407558674767394,31.0672214254743,30.6,WAIT,Medium-High,0.16,5.0,P50 $30.41 below current $30.57 — $0.16/t expected savings.
2025-09-20,30.47,29.558493830263004,30.346605534508605,30.91282918304266,29.9,BUY NOW,Medium,0.12,4.4,Only $0.12/t expected savings — below threshold.
2025-09-21,29.92,29.561585642396793,30.247139210656066,30.79168011993231,29.56,BUY NOW,Medium-High,-0.33,4.1,Model expects rates to rise: P50 $30.25 vs current $29.92.
2025-09-22,30.18,29.558987833558902,30.211960072472472,30.88825299590887,29.96,BUY NOW,Medium,-0.03,4.4,Only $-0.03/t expected savings — below threshold.
2025-09-23,30.41,29.256406046449527,29.739294285729308,30.800255559385434,29.95,WAIT,High,0.67,5.1,Model predicts $0.67/t drop (P50=$29.74 vs current $30.41).
2025-09-24,31.13,29.075421549379215,29.523735279992003,30.720623753965512,28.43,WAIT,High,1.61,5.3,Model predicts $1.61/t drop (P50=$29.52 vs current $31.13).
2025-09-25,30.74,29.047913767396793,29.38164925093927,30.800268910825864,28.98,WAIT,High,1.36,5.7,Model predicts $1.36/t drop (P50=$29.38 vs current $30.74).
2025-09-26,30.6,29.022017695009097,29.437669987633605,30.92597272247137,29.24,WAIT,High,1.16,6.2,Model predicts $1.16/t drop (P50=$29.44 vs current $30.60).
2025-09-27,29.9,29.12375185638605,29.431659932091613,30.81475903838934,29.11,WAIT,Medium-High,0.47,5.7,P50 $29.43 below current $29.90 — $0.47/t expected savings.
2025-09-28,29.56,29.054106928407535,29.37972473616876,30.915404103696957,29.55,WAIT,Medium-High,0.18,6.3,P50 $29.38 below current $29.56 — $0.18/t expected savings.
2025-09-29,29.96,29.037446238099918,29.46938538070001,30.73786809295477,29.57,WAIT,Medium-High,0.49,5.7,P50 $29.47 below current $29.96 — $0.49/t expected savings.
2025-09-30,29.95,29.115893580018863,29.56970047469415,30.700159810484067,28.75,WAIT,Medium-High,0.38,5.3,P50 $29.57 below current $29.95 — $0.38/t expected savings.
2025-10-01,28.43,29.06910441070734,29.508917088463683,30.60432889312567,28.68,BUY NOW,High,-1.08,5.4,Current $28.43 at/below forecast floor P10=$29.07.
2025-10-02,28.98,28.546174265443668,28.90246414656915,29.33661534637274,29.12,BUY NOW,Medium,0.08,2.7,Only $0.08/t expected savings — below threshold.
2025-10-03,29.24,28.391280390321597,28.627849812462706,29.48236729949774,30.01,WAIT,High,0.61,3.7,Model predicts $0.61/t drop (P50=$28.63 vs current $29.24).
2025-10-04,29.11,28.326071955263004,28.60219025130548,29.532618306577817,29.31,WAIT,High,0.51,4.1,Model predicts $0.51/t drop (P50=$28.60 vs current $29.11).
2025-10-05,29.55,28.311249949037418,28.615749592736144,29.47839429229559,28.82,WAIT,High,0.93,3.9,Model predicts $0.93/t drop (P50=$28.62 vs current $29.55).
2025-10-06,29.57,28.812745310365543,29.332006688073058,29.885388158262387,28.76,WAIT,Medium-High,0.24,3.6,P50 $29.33 below current $29.57 — $0.24/t expected savings.
2025-10-07,28.75,28.799521662294254,29.34787010665216,29.914467595518246,30.17,BUY NOW,High,-0.6,3.9,Current $28.75 at/below forecast floor P10=$28.80.
2025-10-08,28.68,28.266076304017886,28.629795308068175,29.34120061248602,28.53,BUY NOW,Medium,0.05,3.7,Only $0.05/t expected savings — below threshold.
2025-10-09,29.12,28.170352198182925,28.472576374962706,29.28493192046942,28.8,WAIT,High,0.65,3.8,Model predicts $0.65/t drop (P50=$28.47 vs current $29.12).
2025-10-10,30.01,28.141354776918277,28.6271345567254,29.46227338165106,29.35,WAIT,High,1.38,4.4,Model predicts $1.38/t drop (P50=$28.63 vs current $30.01).
2025-10-11,29.31,28.72114298492609,29.26984810347833,29.911511205137387,29.69,BUY NOW,Medium,0.04,4.1,Only $0.04/t expected savings — below threshold.
2025-10-12,28.82,28.61349032074152,29.266868824913878,29.77935864776434,30.12,BUY NOW,Medium-High,-0.45,4.0,Model expects rates to rise: P50 $29.27 vs current $28.82.
2025-10-13,28.76,28.393555857240543,28.849086995079894,29.613455556333676,29.6,BUY NOW,Medium,-0.09,4.2,Only $-0.09/t expected savings — below threshold.
2025-10-14,30.17,28.31329271942316,28.66081070418634,29.54935147613348,29.12,WAIT,High,1.51,4.1,Model predicts $1.51/t drop (P50=$28.66 vs current $30.17).
2025-10-15,28.53,28.683242060243472,29.121088261559386,29.788193486631528,28.42,BUY NOW,High,-0.59,3.9,Current $28.53 at/below forecast floor P10=$28.68.
2025-10-16,28.8,28.44344637542902,28.889723057701964,29.30401112884344,28.89,BUY NOW,Medium,-0.09,3.0,Only $-0.09/t expected savings — below threshold.
2025-10-17,29.35,28.36915323883234,28.746731038048644,29.503292821348325,28.93,WAIT,High,0.6,3.9,Model predicts $0.60/t drop (P50=$28.75 vs current $29.35).
2025-10-18,29.69,28.58582804351984,29.13484405989923,29.747059606016293,29.56,WAIT,High,0.56,3.9,Model predicts $0.56/t drop (P50=$29.13 vs current $29.69).
2025-10-19,30.12,28.74705050140558,29.269621128991027,29.878020070493832,28.17,WAIT,High,0.85,3.8,Model predicts $0.85/t drop (P50=$29.27 vs current $30.12).
2025-10-20,29.6,28.76299975067316,29.455160374596495,29.86232449859442,29.21,BUY NOW,Medium,0.14,3.7,Only $0.14/t expected savings — below threshold.
2025-10-21,29.12,28.74408648163019,29.430929417565245,29.81395985931219,28.92,BUY NOW,Medium-High,-0.31,3.7,Model expects rates to rise: P50 $29.43 vs current $29.12.
2025-10-22,28.42,28.33104632049738,28.710613484337706,29.538435719907895,29.0,BUY NOW,Medium-High,-0.29,4.2,Model expects rates to rise: P50 $28.71 vs current $28.42.
2025-10-23,28.89,28.36418841034113,28.67967819686212,29.27868726104559,28.64,WAIT,Medium-High,0.21,3.2,P50 $28.68 below current $28.89 — $0.21/t expected savings.
2025-10-24,28.93,28.293898798524722,28.469434971764464,29.4331882223493,28.56,WAIT,Medium-High,0.46,3.9,P50 $28.47 below current $28.93 — $0.46/t expected savings.
2025-10-25,29.56,28.122092463075504,28.304607624962706,29.255169652403012,29.22,WAIT,High,1.26,3.8,Model predicts $1.26/t drop (P50=$28.30 vs current $29.56).
2025-10-26,28.17,28.481400705873355,28.899626011803527,29.494137547910825,29.19,BUY NOW,High,-0.73,3.6,Current $28.17 at/below forecast floor P10=$28.48.
2025-10-27,29.21,27.918357111513004,28.29346680159845,28.87955739349188,29.62,WAIT,High,0.92,3.3,Model predicts $0.92/t drop (P50=$28.29 vs current $29.21).
2025-10-28,28.92,27.93621180206476,28.205309147789855,29.057293675840512,28.92,WAIT,High,0.71,3.9,Model predicts $0.71/t drop (P50=$28.21 vs current $28.92).
2025-10-29,29.0,27.81734202057062,28.259771580651183,28.97321965545477,28.94,WAIT,High,0.74,4.0,Model predicts $0.74/t drop (P50=$28.26 vs current $29.00).
2025-10-30,28.64,27.80420420318781,28.107753987267394,28.845627568662778,28.96,WAIT,High,0.53,3.6,Model predicts $0.53/t drop (P50=$28.11 vs current $28.64).
2025-10-31,28.56,27.806798197328433,28.113113636925597,28.718853734434262,29.39,WAIT,Medium-High,0.45,3.2,P50 $28.11 below current $28.56 — $0.45/t expected savings.
2025-11-01,29.22,27.837010599672183,28.176147694542784,28.797884725034848,28.86,WAIT,High,1.04,3.3,Model predicts $1.04/t drop (P50=$28.18 vs current $29.22).
2025-11-02,29.19,27.83019182830988,28.142889256432433,28.8942477926618,28.54,WAIT,High,1.05,3.6,Model predicts $1.05/t drop (P50=$28.14 vs current $29.19).
2025-11-03,29.62,27.787917353212222,28.29075455184259,28.919934056699887,28.72,WAIT,High,1.33,3.8,Model predicts $1.33/t drop (P50=$28.29 vs current $29.62).
2025-11-04,28.92,28.15201876312433,28.831976170494933,29.21713712066473,29.19,BUY NOW,Medium,0.09,3.7,Only $0.09/t expected savings — below threshold.
2025-11-05,28.94,27.837107874452457,28.31740021224298,28.84807088226141,28.33,WAIT,High,0.62,3.5,Model predicts $0.62/t drop (P50=$28.32 vs current $28.94).
2025-11-06,28.96,27.758939005433902,28.132860417321105,28.902415059507504,28.46,WAIT,High,0.83,3.9,Model predicts $0.83/t drop (P50=$28.13 vs current $28.96).
2025-11-07,29.39,27.867188669740543,28.340399022057433,29.09856488555731,28.35,WAIT,High,1.05,4.2,Model predicts $1.05/t drop (P50=$28.34 vs current $29.39).
2025-11-08,28.86,27.967063166200504,28.446335072472472,29.139141820371762,28.61,WAIT,Medium-High,0.41,4.1,P50 $28.45 below current $28.86 — $0.41/t expected savings.
2025-11-09,28.54,27.78085634857355,28.33994316573419,28.91244962066473,29.18,WAIT,Medium-High,0.2,4.0,P50 $28.34 below current $28.54 — $0.20/t expected savings.
